YearStart,YearEnd,LocationDesc,DataSource,Topic,Question,DataValueUnit_x,DataValueType,DataValue,DataValueAlt,LowConfidenceLimit,HighConfidenceLimit,QuestionID,DataValueTypeID,RaceEthnicity
2015,2015,Alaska,BRFSS,Alcohol,Heavy drinking among adults aged >= 18 years,,Age-adjusted Prevalence,0.0,0.0,6.4,,ALC5_1,AGEADJPREV,"Black, non-Hispanic"
2012,2012,Wyoming,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.02,0.02,6.4,,ALC8_0_1,USD,nan
2020,2020,Wisconsin,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.06,0.06,6.4,,ALC8_0_1,USD,nan
2015,2015,Pennsylvania,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.08,0.08,6.4,,ALC8_0_1,USD,nan
2021,2021,Maryland,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.09,0.09,6.4,,ALC8_0_1,USD,nan
2012,2012,Rhode Island,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.1,0.1,6.4,,ALC8_0_1,USD,nan
2019,2019,Massachusetts,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.11,0.11,6.4,,ALC8_0_1,USD,nan
2021,2021,New Jersey,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.12,0.12,6.4,,ALC8_0_1,USD,nan
2019,2019,New York,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.14,0.14,6.4,,ALC8_0_1,USD,nan
2015,2015,Minnesota,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.15,0.15,6.4,,ALC8_0_1,USD,nan
2019,2019,Arizona,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.16,0.16,6.4,,ALC8_0_1,USD,nan
2019,2019,West Virginia,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.18,0.18,6.4,,ALC8_0_1,USD,nan
2012,2012,Texas,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.19,0.19,6.4,,ALC8_0_1,USD,nan
2012,2012,California,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.2,0.2,6.4,,ALC8_0_1,USD,nan
2017,2017,Illinois,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.23,0.23,6.4,,ALC8_0_1,USD,nan
2015,2015,Arkansas,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.24,0.24,6.4,,ALC8_0_1,USD,nan
2020,2020,Wisconsin,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,US Dollars,0.25,0.25,6.4,,ALC8_0_2,USD,nan
2021,2021,Delaware,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.26,0.26,6.4,,ALC8_0_1,USD,nan
2020,2020,Vermont,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.27,0.27,6.4,,ALC8_0_1,USD,nan
2017,2017,Virginia,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.28,0.28,6.4,,ALC8_0_1,USD,nan
2017,2017,Kansas,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,US Dollars,0.3,0.3,6.4,,ALC8_0_2,USD,nan
2017,2017,Nebraska,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.31,0.31,6.4,,ALC8_0_1,USD,nan
2021,2021,Colorado,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,US Dollars,0.32,0.32,6.4,,ALC8_0_2,USD,nan
2012,2012,Maine,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.35,0.35,6.4,,ALC8_0_1,USD,nan
2021,2021,Louisiana,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.4,0.4,6.4,,ALC8_0_1,USD,nan
2019,2019,New Mexico,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.41,0.41,6.4,,ALC8_0_1,USD,nan
2021,2021,Missouri,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,US Dollars,0.42,0.42,6.4,,ALC8_0_2,USD,nan
2019,2019,Mississippi,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.43,0.43,6.4,,ALC8_0_1,USD,nan
2015,2015,Indiana,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,US Dollars,0.47,0.47,6.4,,ALC8_0_2,USD,nan
2019,2019,Florida,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.48,0.48,6.4,,ALC8_0_1,USD,nan
2015,2015,Kentucky,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,US Dollars,0.5,0.5,6.4,,ALC8_0_2,USD,nan
2015,2015,Michigan,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,US Dollars,0.51,0.51,6.4,,ALC8_0_2,USD,nan
2012,2012,Vermont,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,US Dollars,0.55,0.55,6.4,,ALC8_0_2,USD,nan
2012,2012,Rhode Island,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,US Dollars,0.6,0.6,6.4,,ALC8_0_2,USD,nan
2019,2019,North Carolina,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,US Dollars,0.62,0.62,6.4,,ALC8_0_1,USD,nan
2012,2012,Nevada,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,US Dollars,0.7,0.7,6.4,,ALC8_0_2,USD,nan
2020,2020,Oklahoma,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,US Dollars,0.72,0.72,6.4,,ALC8_0_2,USD,nan
2017,2017,Arkansas,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,US Dollars,0.75,0.75,6.4,,ALC8_0_2,USD,nan
